ids,Datasets,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
1554,autoUniv-au7-500_1554.csv,0.33999999999999997,0.04807401700618652,0.29400000000000004,0.04526465385804788,0.41000000000000003,0.04546060565661952,0.3760,0.05561774297230457,0.29400000000000004,0.040055517028799476,0.3840,0.008432740427115688,0.3840,0.008432740427115688
1553,autoUniv-au7-700_1553.csv,0.4357142857142858,0.02714703393093184,0.39428571428571424,0.058009304125108796,0.43571428571428567,0.06875966227711262,0.43,0.07013107262076329,0.3957142857142857,0.048585432154989366,0.3442857142857143,0.018381199110113135,0.35285714285714287,0.030897387042873026
463,backache_463.csv,0.861111111111111,0.029280348705262728,0.7611111111111112,0.09091064969358204,0.7944444444444445,0.10492011462381698,0.3277777777777778,0.08050764858994132,0.7833333333333333,0.07612890663368323,0.861111111111111,0.029280348705262728,0.861111111111111,0.029280348705262728
1121,badges2_1121.csv,1.0,0.0,1.0,0.0,0.7989655172413793,0.07316994573914333,1.0,0.0,0.8909195402298851,0.0454550512362246,0.7144827586206898,0.012464773987794012,0.714712643678161,0.03902332236618855
11,balance-scale_11.csv,0.44631336405529953,0.10905797510939964,0.41891961085509466,0.09201477641592964,0.854531490015361,0.058575718381658655,0.8415770609318995,0.09569404049394797,0.7042498719918074,0.06892118742797562,0.46080389144905276,0.005911767646500074,0.6434971838197645,0.09422517951021958
481,biomed_481.csv,0.8280952380952382,0.08107522580825112,,,,,,,,,0.7945238095238094,0.10253802396810881,0.7173809523809525,0.10259943465209592
1463,blogger_1463.csv,0.6299999999999999,0.08232726023485644,0.73,0.11595018087284058,0.73,0.0823272602348565,0.78,0.09189365834726818,0.8800000000000001,0.10327955589886445,0.6799999999999999,0.04216370213557838,0.6799999999999999,0.04216370213557838
1464,blood-transfusion-service-center_1464.csv,0.762054054054054,0.004330326165275621,0.5039819819819819,0.06385491416230459,0.770054054054054,0.01507227520270554,0.7473513513513513,0.03669652958976612,0.5712252252252252,0.1801516704171344,0.762054054054054,0.004330326165275621,0.762054054054054,0.004330326165275621
778,bodyfat_778.csv,0.9961538461538462,0.01216260638526299,0.9961538461538462,0.01216260638526299,0.9603076923076923,0.03771794000243933,0.7818461538461539,0.11290859032814214,0.6899999999999998,0.10595733079892523,0.5112307692307692,0.07171442379243982,0.5112307692307692,0.07171442379243982
853,boston_853.csv,0.7969019607843136,0.11080117480188122,0.7732156862745098,0.09917529984810511,0.8185098039215685,0.12477927712359684,0.7245098039215685,0.21630785854047846,0.5564705882352942,0.17074377503257795,0.5869411764705882,0.006010371658562272,0.6681960784313725,0.16044328038761466
15,breast-w_15.csv,0.9099378881987578,0.04512887687921075,0.8499378881987578,0.07060630322183169,,,,,,,0.895631469979296,0.04987976834121856,0.8457142857142858,0.08269826036606633
844,breastTumor_844.csv,,,,,,,,,,,,,,
327,bridges_327.csv,,,,,,,,,,,,,,
45717,bwin_amlb_45717.csv,0.6679245283018866,0.00974335433008155,0.5943396226415094,0.0636743922368446,0.6547169811320754,0.0427025036396678,0.4905660377358491,0.05410267463548821,0.5566037735849056,0.051287756070126055,0.6679245283018866,0.00974335433008155,0.6679245283018866,0.00974335433008155
40663,calendarDOW_40663.csv,0.3583974358974359,0.05773538277971818,0.29326923076923084,0.06890503856214358,0.5835256410256411,0.1523568854195173,0.5258333333333334,0.1483161662974916,0.5608974358974359,0.2342964063929539,0.2506410256410257,0.04087512453058938,0.28320512820512816,0.03535766346280507
820,chatfield_4_820.csv,0.8681159420289856,0.051074249513197625,0.7782608695652173,0.0541205661781778,0.8344202898550724,0.06767704732565981,0.8717391304347826,0.05461421562851185,0.8552536231884058,0.049571741173065086,0.8161231884057971,0.08412704870290802,0.7317028985507246,0.08872682170735721
798,cholesterol_798.csv,,,,,,,,,,,,,,
909,chscase_census2_909.csv,0.5,0.035355339059327376,0.47000000000000003,0.08563488385776752,0.4850,0.08349983366583566,0.5025,0.08775755744600511,0.5450,0.048304589153964794,0.5250,0.06666666666666667,0.5175,0.06129391849477763
908,chscase_census3_908.csv,0.4950,0.042163702135578386,0.48250000000000004,0.08083762875185184,0.49749999999999994,0.0660912668629945,0.5050,0.06749485577105528,0.4575,0.062416611036913344,0.5349999999999999,0.06032320356951285,0.5125000000000001,0.05303300858899106
907,chscase_census4_907.csv,0.4574999999999999,0.04571955574781734,0.48250000000000004,0.07269609495854794,0.4425,0.0745821694508815,0.48999999999999994,0.05676462121975467,0.5075000000000001,0.06775158874725948,0.49749999999999994,0.034258007985157456,0.5125,0.027003086243366097
906,chscase_census5_906.csv,0.5325,0.055339859052946624,0.4875,0.06373774391990981,0.48,0.09264628073124864,0.4600000000000001,0.06258327785172861,0.5025000000000001,0.09010025280517005,0.4750,0.052704627669473,0.49750000000000005,0.08032053840014326
900,chscase_census6_900.csv,0.55,0.05773502691896257,0.4950,0.08482007099999647,0.5725,0.041583249832915475,0.5700000000000001,0.06101001739241042,0.53,0.08482007099999649,0.55,0.067700320038633,0.5650000000000001,0.052967495273569004
